,sku_file_price,Stock Qty,special_price,act_post,nsw_m_post,nsw_r_post,nt_m_post,nt_r_post,qld_m_post,qld_r_post,remote_post,sa_m_post,sa_r_post,tas_m_post,tas_r_post,vic_m_post,vic_r_post,wa_m_post,wa_r_post,Original_SKU
3829,132.00,0.0,-1.0,26.0,26.0,34.0,165.0,158.0,36.0,54.0,93.0,27.0,62.0,26.0,39.0,11.0,45.0,57.0,206.0,BFRAME-H-ANNA-Q-CA-AB
3830,176.00,0.0,-1.0,26.0,26.0,34.0,165.0,158.0,36.0,54.0,93.0,27.0,62.0,26.0,39.0,11.0,45.0,57.0,206.0,BFRAME-H-ANNA-Q-GY-AB
3831,26.40,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC-RLDV-200-BK
3832,35.20,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC-RLC-605-BK
3833,64.30,200.0,-1.0,10.0,0.0,16.0,31.0,37.0,0.0,17.0,28.0,0.0,21.0,0.0,15.0,0.0,11.0,0.0,35.0,FURNI-C-SIDE-SHELF-WD
3834,336.60,0.0,-1.0,23.0,13.0,35.0,55.0,108.0,22.0,41.0,77.0,21.0,58.0,41.0,67.0,11.0,20.0,42.0,87.0,MOWER-53B4-22BU-AB
3835,184.80,200.0,-1.0,8.0,0.0,12.0,25.0,30.0,0.0,13.0,22.0,0.0,17.0,0.0,12.0,0.0,9.0,0.0,28.0,UPHO-B-ARM05STO-BG
3836,169.70,200.0,152.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UPHO-B-TUB02-BG
3837,355.80,0.0,-1.0,25.0,0.0,29.0,79.0,63.0,0.0,38.0,60.0,0.0,46.0,0.0,41.0,0.0,25.0,0.0,84.0,SBED-C-VEL194-GY-ABC
3838,271.40,0.0,-1.0,25.0,0.0,29.0,79.0,63.0,0.0,38.0,60.0,0.0,46.0,0.0,41.0,0.0,25.0,0.0,84.0,SBED-C-LIN194-LI-GY-ABC
3839,53.00,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LC-FURNI-COF02-WD
3840,146.10,200.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,21.0,0.0,15.0,0.0,10.0,0.0,34.0,ATB-DS-L-75-40-BK
3841,86.40,0.0,-1.0,24.0,23.0,46.0,98.0,112.0,32.0,59.0,83.0,23.0,41.0,55.0,72.0,15.0,32.0,61.0,130.0,GTABLE-Z03-BK
3842,261.00,200.0,248.0,13.0,7.0,19.0,30.0,60.0,12.0,23.0,43.0,12.0,32.0,23.0,37.0,6.0,11.0,23.0,48.0,EB-F-MB-02-BK
3843,357.30,200.0,339.4,35.0,34.0,67.0,142.0,162.0,46.0,86.0,120.0,33.0,59.0,80.0,104.0,22.0,46.0,88.0,188.0,EB-F-MB-03-BK
3844,278.10,200.0,-1.0,13.0,7.0,19.0,29.0,58.0,12.0,22.0,41.0,12.0,31.0,22.0,36.0,6.0,11.0,22.0,46.0,EB-F-RB-02-BK
3845,76.50,200.0,68.9,11.0,11.0,15.0,63.0,75.0,15.0,23.0,37.0,11.0,32.0,11.0,11.0,6.0,23.0,23.0,89.0,BAM-B-SR2001-NT
3846,269.20,0.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,33.0,0.0,25.0,0.0,18.0,0.0,13.0,0.0,41.0,XM-TR-FULL-8F-GS
3847,212.00,0.0,-1.0,12.0,0.0,19.0,37.0,45.0,0.0,20.0,33.0,0.0,26.0,0.0,19.0,0.0,13.0,0.0,42.0,XM-TR-FULL-7F-PINE
3848,145.20,0.0,-1.0,9.0,0.0,13.0,26.0,31.0,0.0,14.0,23.0,0.0,18.0,0.0,13.0,0.0,9.0,0.0,29.0,XM-TR-FULL-6F-PINE
3849,91.30,0.0,-1.0,15.0,15.0,19.0,92.0,88.0,20.0,30.0,52.0,15.0,35.0,15.0,22.0,6.0,25.0,32.0,115.0,FURNI-L-BF09-WHWD
3850,72.20,105.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,33.0,FURNI-L-BF11-WHWD
3851,93.20,0.0,-1.0,13.0,13.0,16.0,38.0,49.0,18.0,26.0,42.0,13.0,26.0,13.0,17.0,6.0,14.0,28.0,45.0,GA-SDOOR-D-4M-COMBO
3852,34.30,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XM-TR-GAR-7FT-GR
3853,30.80,0.0,-1.0,9.0,0.0,13.0,27.0,32.0,0.0,14.0,24.0,0.0,18.0,0.0,13.0,0.0,9.0,0.0,30.0,XM-TR-GAR-8FT-GR
3854,252.30,0.0,-1.0,25.0,24.0,48.0,101.0,116.0,33.0,62.0,86.0,24.0,42.0,57.0,75.0,16.0,33.0,63.0,135.0,WBED-HOUSE-BALI-S-AB
3855,31.30,188.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FURNI-C-BS-TOGO-WD
3856,40.00,0.0,-1.0,6.0,0.0,8.0,25.0,30.0,0.0,11.0,18.0,0.0,16.0,0.0,6.0,0.0,10.0,0.0,39.0,FLR-3200-160X230-OG
3857,72.20,200.0,-1.0,9.0,0.0,12.0,39.0,47.0,0.0,17.0,27.0,0.0,24.0,0.0,10.0,0.0,15.0,0.0,59.0,FLR-3200-200X290-OG
3858,25.20,139.0,-1.0,6.0,0.0,8.0,25.0,30.0,0.0,11.0,18.0,0.0,16.0,0.0,6.0,0.0,10.0,0.0,39.0,FLR-3261-160X230-RD
3859,60.00,0.0,-1.0,9.0,0.0,12.0,39.0,47.0,0.0,17.0,27.0,0.0,24.0,0.0,10.0,0.0,15.0,0.0,59.0,FLR-3261-200X290-RD
3860,205.90,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIDET-B-ELEC-228-WH
3861,264.00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIDET-B-RMT330-WH
3862,59.80,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIDET-B-N-ELEC-D
3863,66.80,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIDET-B-N-ELEC-O
3864,124.90,200.0,112.4,17.0,17.0,21.0,103.0,99.0,22.0,34.0,58.0,17.0,39.0,17.0,24.0,7.0,28.0,35.0,129.0,GAZEBO-IR-AR-3X25-GY-AB
3865,131.10,164.0,-1.0,16.0,16.0,21.0,101.0,97.0,22.0,33.0,57.0,17.0,38.0,16.0,24.0,7.0,28.0,35.0,126.0,GAZEBO-IR-DO-4X3-GY-AB
3866,114.80,152.0,-1.0,9.0,0.0,13.0,26.0,32.0,0.0,14.0,24.0,0.0,18.0,0.0,13.0,0.0,9.0,0.0,30.0,DRESS-D-1MIR-1D-WH
3867,109.10,177.0,-1.0,10.0,10.0,12.0,29.0,37.0,14.0,20.0,32.0,10.0,19.0,10.0,13.0,5.0,10.0,21.0,34.0,GAZEBO-IR-LE-3X3-GY-AB
